,ISBNs,output_types,years,country,unified_title,primary_occupations_main,primary_occupations_detailed,sciences,ABC outputs
0,9780080449944,edited volumes,2008,United Kingdom,Elsevier,academic publishers,academic publishers,natural sciences,
1,9780080919089,edited volumes,2010,United Kingdom,Elsevier,academic publishers,academic publishers,natural sciences,
2,9780080977430,edited volumes,2014,United Kingdom,Elsevier,universities,academic publishers,social sciences,
3,9780081005460,edited volumes,2016,United Kingdom,Elsevier,universities,academic publishers,social sciences,
4,9780123739322,edited volumes,2012,United States of America,Elsevier,universities,academic publishers,social sciences,
5,9780123740274,edited volumes,2008,United States of America,Elsevier,academic publishers,academic publishers,natural sciences,
6,9780123786319,edited volumes,2013,United States of America,Elsevier,academic publishers,academic publishers,agricultural sciences,
7,9780123910608,edited volumes,2011,United States of America,Elsevier,academic publishers,academic publishers,natural sciences,
8,9780124081178,edited volumes,2016,United States of America,Elsevier,academic publishers,academic publishers,technological sciences,
9,9780124095489,edited volumes,2013,United States of America,Elsevier,academic publishers,academic publishers,technological sciences,
10,9780124166417,edited volumes,2016,United States of America,Elsevier,academic publishers,academic publishers,technological sciences,
12,9780128000021,edited volumes,2016,United States of America,Elsevier,academic publishers,academic publishers,medical and health sciences,
13,9780128021163,edited volumes,2015,United States of America,Elsevier,academic publishers,academic publishers,natural sciences,
14,9780128032893,edited volumes,2016,United States of America,Elsevier,academic publishers,academic publishers,natural sciences,
15,9780198747536,edited volumes,2015,United Kingdom,Oxford University Press,academic publishers,academic publishers,social sciences,
16,9780199213962,edited volumes,2012,United Kingdom,Oxford University Press,academic publishers,academic publishers,social sciences,
17,9780199532902,edited volumes,2011,United Kingdom,Oxford University Press,academic publishers,academic publishers,natural sciences,
18,9780199559213,edited volumes,2010,United Kingdom,Oxford University Press,academic publishers,academic publishers,humanities,
19,9780199573066,edited volumes,2012,United Kingdom,Oxford University Press,academic publishers,academic publishers,medical and health sciences,
20,9780199602315,edited volumes,2012,United Kingdom,Oxford University Press,academic publishers,academic publishers,social sciences,
21,9780199660988,edited volumes,2013,United Kingdom,Oxford University Press,academic publishers,academic publishers,social sciences,
22,9780199692934,edited volumes,2013,United Kingdom,Oxford University Press,academic publishers,academic publishers,social sciences,
23,9780199908042,authored books,2014,United Kingdom,Oxford University Press,academic publishers,academic publishers,social sciences,
24,9780203799079,edited volumes,2013,United Kingdom,Informa (Taylor & Francis),academic publishers,academic publishers,social sciences,
25,9780203844212,edited volumes,2010,United Kingdom,Informa (Taylor & Francis),academic publishers,academic publishers,social sciences,
26,9780230220195,edited volumes,2009,United Kingdom,Springer Nature,academic publishers,academic publishers,social sciences,
27,9780230220348,edited volumes,2012,United Kingdom,Springer Nature,academic publishers,academic publishers,social sciences,
28,9780230230262,edited volumes,2009,United Kingdom,Springer Nature,academic publishers,academic publishers,social sciences,
29,9780230285538,authored books,2010,United Kingdom,Springer Nature,academic publishers,academic publishers,social sciences,
30,9780230292833,edited volumes,2012,United Kingdom,Springer Nature,academic publishers,academic publishers,social sciences,
31,9780230354838,edited volumes,2013,United Kingdom,Springer Nature,academic publishers,academic publishers,social sciences,
32,9780230527423,edited volumes,2009,United Kingdom,Springer Nature,academic publishers,academic publishers,humanities,
33,9780230579330,edited volumes,2010,United Kingdom,Springer Nature,academic publishers,academic publishers,social sciences,
34,9780230607705,edited volumes,2009,United Kingdom,Springer Nature,universities,academic publishers,social sciences,
35,9780253355201,edited volumes,2010,United States of America,Indiana University Press,universities,university presses,social sciences,
36,9780313351426,edited volumes,2010,Canada,Bloomsbury,academic publishers,academic publishers,social sciences,
37,9780323353212,edited volumes,2015,United States of America,Elsevier,academic publishers,academic publishers,technological sciences,
38,9780387096032,edited volumes,2009,United States of America,Springer Nature,academic publishers,academic publishers,natural sciences,
39,9780387097060,edited volumes,2009,United States of America,Springer Nature,academic publishers,academic publishers,technological sciences,
40,9780387347271,edited volumes,2009,United States of America,Springer Nature,academic publishers,academic publishers,natural sciences,
42,9780387747583,edited volumes,2009,United States of America,Springer Nature,academic publishers,academic publishers,technological sciences,
43,9780387848099,edited volumes,2009,United States of America,Springer Nature,academic publishers,academic publishers,natural sciences,
44,9780387928074,edited volumes,2011,United States of America,Springer Nature,academic publishers,academic publishers,natural sciences,
45,9780387959825,edited volumes,2010,United States of America,Springer Nature,academic publishers,academic publishers,social sciences,
46,9780415451819,authored books,2008,United Kingdom,Informa (Taylor & Francis),academic publishers,academic publishers,social sciences,
47,9780415454254,edited volumes,2010,United Kingdom,Informa (Taylor & Francis),academic publishers,academic publishers,technological sciences,
48,9780415472173,authored books,2010,United Kingdom,Informa (Taylor & Francis),academic publishers,academic publishers,social sciences,
49,9780415472326,edited volumes,2009,United Kingdom,Informa (Taylor & Francis),academic publishers,academic publishers,humanities,
50,9780415509657,edited volumes,2013,United Kingdom,Informa (Taylor & Francis),academic publishers,academic publishers,humanities,
51,9780415516464,edited volumes,2012,United Kingdom,Informa (Taylor & Francis),academic publishers,academic publishers,social sciences,
52,9780415533997,edited volumes,2013,United Kingdom,Informa (Taylor & Francis),academic publishers,academic publishers,social sciences,
53,9780415536301,edited volumes,2012,United Kingdom,Informa (Taylor & Francis),academic publishers,academic publishers,social sciences,
54,9780415592031,edited volumes,2015,United Kingdom,Informa (Taylor & Francis),academic publishers,academic publishers,social sciences,
55,9780415620499,edited volumes,2012,United Kingdom,Informa (Taylor & Francis),academic publishers,academic publishers,social sciences,
56,9780415629980,edited volumes,2014,United Kingdom,Informa (Taylor & Francis),academic publishers,academic publishers,social sciences,
57,9780415679275,edited volumes,2013,United Kingdom,Informa (Taylor & Francis),academic publishers,academic publishers,social sciences,
58,9780415680844,edited volumes,2012,United Kingdom,Informa (Taylor & Francis),academic publishers,academic publishers,social sciences,
59,9780415684903,edited volumes,2014,United Kingdom,Informa (Taylor & Francis),academic publishers,academic publishers,humanities,
60,9780415691154,edited volumes,2011,United Kingdom,Informa (Taylor & Francis),academic publishers,academic publishers,social sciences,
61,9780415695008,edited volumes,2012,United Kingdom,Informa (Taylor & Francis),academic publishers,academic publishers,social sciences,
62,9780415697422,edited volumes,2012,United Kingdom,Informa (Taylor & Francis),academic publishers,academic publishers,social sciences,
63,9780415714495,authored books,2014,United Kingdom,Informa (Taylor & Francis),academic publishers,academic publishers,humanities,
64,9780415719001,edited volumes,2015,United Kingdom,Informa (Taylor & Francis),academic publishers,academic publishers,social sciences,
65,9780415729871,edited volumes,2014,United Kingdom,Informa (Taylor & Francis),academic publishers,academic publishers,social sciences,
66,9780415747899,edited volumes,2016,United Kingdom,Informa (Taylor & Francis),academic publishers,academic publishers,technological sciences,
67,9780415804790,edited volumes,2009,United Kingdom,Informa (Taylor & Francis),academic publishers,academic publishers,social sciences,
68,9780415816427,edited volumes,2015,United Kingdom,Informa (Taylor & Francis),academic publishers,academic publishers,social sciences,
69,9780415842198,edited volumes,2014,United Kingdom,Informa (Taylor & Francis),academic publishers,academic publishers,medical and health sciences,
70,9780415843256,edited volumes,2014,United Kingdom,Informa (Taylor & Francis),academic publishers,academic publishers,social sciences,
71,9780415843461,edited volumes,2014,United Kingdom,Informa (Taylor & Francis),universities,academic publishers,social sciences,
72,9780415854917,authored books,2014,United Kingdom,Informa (Taylor & Francis),academic publishers,academic publishers,social sciences,
73,9780415885133,edited volumes,2012,United Kingdom,Informa (Taylor & Francis),academic publishers,academic publishers,humanities,
74,9780415899765,edited volumes,2013,United Kingdom,Informa (Taylor & Francis),academic publishers,academic publishers,humanities,
76,9780444538130,edited volumes,2014,United States of America,Elsevier,universities,academic publishers,social sciences,
79,9780470027318,edited volumes,2014,United States of America,John Wiley & Sons,academic publishers,academic publishers,natural sciences,
80,9780470048672,edited volumes,2008,United States of America,John Wiley & Sons,academic publishers,academic publishers,natural sciences,
81,9780470105283,edited volumes,2008,United States of America,John Wiley & Sons,academic publishers,academic publishers,natural sciences,
82,9780470405086,edited volumes,2011,United States of America,John Wiley & Sons,academic publishers,academic publishers,natural sciences,
83,9780470711217,edited volumes,2015,United States of America,John Wiley & Sons,academic publishers,academic publishers,natural sciences,
84,9780470723272,edited volumes,2009,United States of America,John Wiley & Sons,academic publishers,academic publishers,medical and health sciences,
85,9780470747247,edited volumes,2011,United States of America,John Wiley & Sons,universities,academic publishers,social sciences,
87,9780471266969,edited volumes,2012,United States of America,John Wiley & Sons,academic publishers,academic publishers,technological sciences,
88,9780471346081,edited volumes,2008,United States of America,John Wiley & Sons,academic publishers,academic publishers,natural sciences,
89,9780471711551,edited volumes,2008,United States of America,John Wiley & Sons,academic publishers,academic publishers,technological sciences,
90,9780511863189,edited volumes,2014,United Kingdom,Cambridge University Press,academic publishers,academic publishers,natural sciences,
92,9780521145657,edited volumes,2012,United Kingdom,Cambridge University Press,academic publishers,academic publishers,social sciences,
93,9780521760614,edited volumes,2010,United Kingdom,Cambridge University Press,academic publishers,academic publishers,medical and health sciences,
94,9780646574400,edited volumes,2015,Australia,Shared Prefixes,intermediaries,self-publishing,medical and health sciences,
96,9780719081736,edited volumes,2010,United Kingdom,Manchester University Press,universities,university presses,humanities,
97,9780739174104,authored books,2012,United States of America,Rowman & Littlefield,academic publishers,academic publishers,social sciences,
98,9780745662749,authored books,2013,United Kingdom,John Wiley & Sons,academic publishers,academic publishers,humanities,
99,9780748641178,edited volumes,2011,United Kingdom,Edinburgh University Press,universities,university presses,humanities,
100,9780748646944,edited volumes,2013,United Kingdom,Edinburgh University Press,universities,university presses,social sciences,
102,9780754675655,edited volumes,2009,United Kingdom,Informa (Taylor & Francis),academic publishers,academic publishers,humanities,
103,9780754678281,authored books,2011,United Kingdom,Informa (Taylor & Francis),academic publishers,academic publishers,social sciences,
104,9780761858911,edited volumes,2012,United States of America,Rowman & Littlefield,academic publishers,academic publishers,social sciences,
105,9780773429260,authored books,2012,Canada,Edwin Mellen Press,academic publishers,academic publishers,social sciences,
106,9780814791011,edited volumes,2009,United States of America,New York University Press,universities,university presses,humanities,
107,9780818913167,edited volumes,2011,United States of America,St Pauls/Alba House Publishers,universities,societies,agricultural sciences,
108,9780823267309,edited volumes,2016,United States of America,Baker Publishing Group,other publishers,specialised publishers,humanities,
110,9780849328398,edited volumes,2009,United States of America,Informa (Taylor & Francis),academic publishers,academic publishers,natural sciences,
111,9780849373688,edited volumes,2008,United States of America,Informa (Taylor & Francis),academic publishers,academic publishers,technological sciences,
112,9780849392580,edited volumes,2008,United States of America,Informa (Taylor & Francis),academic publishers,academic publishers,technological sciences,
113,9780857937353,edited volumes,2013,United Kingdom,Edward Elgar Publishing,academic publishers,academic publishers,social sciences,
114,9780880336529,authored books,2010,United States of America,Eastern European Monographs,universities,university presses,humanities,
115,9780890543962,edited volumes,2011,United States of America,American Phytopathological Society,not publishers,societies,medical and health sciences,
119,9780958058766,edited volumes,2009,Australia,Biriwa Education Services,not publishers,not publishing,social sciences,
120,9780971977716,edited volumes,2011,United States of America,Microtome Publishing,academic publishers,academic publishers,medical and health sciences,
121,9780981952697,edited volumes,2009,United States of America,Word & Spirit Press,other publishers,general publishers,humanities,
122,9780992843700,edited volumes,2014,United Kingdom,Newcastle University,universities,university departments,agricultural sciences,
123,9780995627000,edited volumes,2016,United Kingdom,Centre for Security Failures Studies Publishing,not publishers,not publishing,social sciences,
124,9781107022324,edited volumes,2013,United Kingdom,Cambridge University Press,academic publishers,academic publishers,social sciences,
125,9781107486393,edited volumes,2015,United Kingdom,Cambridge University Press,academic publishers,academic publishers,technological sciences,
126,9781107699540,edited volumes,2012,United Kingdom,Cambridge University Press,academic publishers,academic publishers,social sciences,
127,9781118451717,edited volumes,2016,United States of America,John Wiley & Sons,academic publishers,academic publishers,natural sciences,
128,9781118712054,edited volumes,2014,United States of America,John Wiley & Sons,academic publishers,academic publishers,natural sciences,
129,9781118745984,edited volumes,2015,United States of America,John Wiley & Sons,academic publishers,academic publishers,medical and health sciences,
130,9781118864555,edited volumes,2016,United States of America,John Wiley & Sons,academic publishers,academic publishers,technological sciences,
131,9781118935750,edited volumes,2016,United States of America,John Wiley & Sons,academic publishers,academic publishers,natural sciences,
132,9781119004882,edited volumes,2015,United States of America,John Wiley & Sons,academic publishers,academic publishers,medical and health sciences,
133,9781119011750,edited volumes,2015,United States of America,John Wiley & Sons,academic publishers,academic publishers,natural sciences,
134,9781137022615,edited volumes,2014,United Kingdom,Springer Nature,academic publishers,academic publishers,social sciences,
135,9781137289124,edited volumes,2015,United Kingdom,Springer Nature,academic publishers,academic publishers,social sciences,
136,9781137293794,edited volumes,2013,United Kingdom,Springer Nature,academic publishers,academic publishers,social sciences,
137,9781137305572,edited volumes,2013,United Kingdom,Springer Nature,academic publishers,academic publishers,social sciences,
138,9781137393821,edited volumes,2016,United Kingdom,Springer Nature,academic publishers,academic publishers,social sciences,
139,9781137461063,edited volumes,2015,United Kingdom,Springer Nature,academic publishers,academic publishers,social sciences,
140,9781137488794,edited volumes,2016,United Kingdom,Springer Nature,academic publishers,academic publishers,natural sciences,
141,9781137508553,edited volumes,2015,United Kingdom,Springer Nature,academic publishers,academic publishers,social sciences,
142,9781137525475,edited volumes,2016,United Kingdom,Springer Nature,academic publishers,academic publishers,social sciences,
143,9781137552624,edited volumes,2015,United Kingdom,Springer Nature,academic publishers,academic publishers,natural sciences,
144,9781138789487,edited volumes,2016,United Kingdom,Informa (Taylor & Francis),academic publishers,academic publishers,humanities,
145,9781138794061,edited volumes,2015,United Kingdom,Informa (Taylor & Francis),academic publishers,academic publishers,social sciences,
146,9781138794931,edited volumes,2016,United Kingdom,Informa (Taylor & Francis),academic publishers,academic publishers,social sciences,
147,9781138808461,edited volumes,2016,United Kingdom,Informa (Taylor & Francis),academic publishers,academic publishers,social sciences,
148,9781138816572,edited volumes,2016,United Kingdom,Informa (Taylor & Francis),academic publishers,academic publishers,social sciences,
149,9781138848542,edited volumes,2016,United Kingdom,Informa (Taylor & Francis),academic publishers,academic publishers,humanities,
150,9781138853546,edited volumes,2015,United Kingdom,Informa (Taylor & Francis),academic publishers,academic publishers,humanities,
151,9781138898912,edited volumes,2015,United Kingdom,Informa (Taylor & Francis),academic publishers,academic publishers,social sciences,
152,9781138903777,edited volumes,2016,United Kingdom,Informa (Taylor & Francis),academic publishers,academic publishers,social sciences,
153,9781138921092,edited volumes,2016,United Kingdom,Informa (Taylor & Francis),academic publishers,academic publishers,medical and health sciences,
154,9781138933453,edited volumes,2016,United Kingdom,Informa (Taylor & Francis),academic publishers,academic publishers,humanities,
155,9781138958586,edited volumes,2016,United Kingdom,Informa (Taylor & Francis),academic publishers,academic publishers,social sciences,
156,9781139152334,edited volumes,2012,United Kingdom,Cambridge University Press,academic publishers,academic publishers,social sciences,
157,9781315740522,edited volumes,2015,United Kingdom,Informa (Taylor & Francis),academic publishers,academic publishers,social sciences,
159,9781402050534,authored books,2009,United States of America,Wolters Kluwer,academic publishers,academic publishers,agricultural sciences,
162,9781402065521,edited volumes,2008,United States of America,Wolters Kluwer,academic publishers,academic publishers,natural sciences,
163,9781402065941,edited volumes,2008,United States of America,Wolters Kluwer,academic publishers,academic publishers,agricultural sciences,
164,9781402068003,edited volumes,2008,United States of America,Wolters Kluwer,academic publishers,academic publishers,medical and health sciences,
165,9781402082801,edited volumes,2009,United States of America,Wolters Kluwer,academic publishers,academic publishers,medical and health sciences,
166,9781402092367,edited volumes,2009,United States of America,Wolters Kluwer,academic publishers,academic publishers,natural sciences,
167,9781403995667,edited volumes,2009,United States of America,Springer Nature,academic publishers,academic publishers,humanities,
170,9781405191821,edited volumes,2012,United Kingdom,John Wiley & Sons,academic publishers,academic publishers,medical and health sciences,
171,9781409419235,edited volumes,2011,United Kingdom,Informa (Taylor & Francis),academic publishers,academic publishers,social sciences,
172,9781409434900,edited volumes,2012,United Kingdom,Informa (Taylor & Francis),academic publishers,academic publishers,social sciences,
173,9781409440550,edited volumes,2012,United Kingdom,Informa (Taylor & Francis),academic publishers,academic publishers,social sciences,
174,9781409452300,edited volumes,2015,United Kingdom,Informa (Taylor & Francis),academic publishers,academic publishers,humanities,
175,9781409468233,edited volumes,2014,United Kingdom,Informa (Taylor & Francis),academic publishers,academic publishers,humanities,
176,9781412849685,authored books,2013,United States of America,Informa (Taylor & Francis),academic publishers,academic publishers,social sciences,
177,9781420045444,edited volumes,2010,United States of America,Informa (Taylor & Francis),academic publishers,academic publishers,natural sciences,
178,9781433101250,authored books,2008,United States of America,Peter Lang,academic publishers,academic publishers,social sciences,
179,9781439819074,edited volumes,2010,United States of America,Informa (Taylor & Francis),academic publishers,academic publishers,medical and health sciences,
180,9781439840641,edited volumes,2011,United States of America,Informa (Taylor & Francis),academic publishers,academic publishers,natural sciences,
181,9781439861370,edited volumes,2013,United States of America,Informa (Taylor & Francis),academic publishers,academic publishers,social sciences,
182,9781439881545,authored books,2012,United States of America,Informa (Taylor & Francis),academic publishers,academic publishers,technological sciences,
183,9781439882412,edited volumes,2014,United States of America,Informa (Taylor & Francis),academic publishers,academic publishers,technological sciences,
184,9781439899076,edited volumes,2013,United States of America,Informa (Taylor & Francis),academic publishers,academic publishers,technological sciences,
185,9781441902184,edited volumes,2010,United States of America,Springer Nature,academic publishers,academic publishers,social sciences,
186,9781441902351,authored books,2013,United States of America,Springer Nature,academic publishers,academic publishers,natural sciences,
187,9781441905543,edited volumes,2009,United States of America,Springer Nature,academic publishers,academic publishers,social sciences,
188,9781441908285,edited volumes,2010,United States of America,Springer Nature,academic publishers,academic publishers,natural sciences,
189,9781441972057,edited volumes,2011,United States of America,Springer Nature,academic publishers,academic publishers,technological sciences,
190,9781441979926,edited volumes,2012,United States of America,Springer Nature,academic publishers,academic publishers,technological sciences,
191,9781442232150,edited volumes,2015,United States of America,Rowman & Littlefield,academic publishers,academic publishers,humanities,
192,9781443807340,edited volumes,2016,United Kingdom,Cambridge Scholars Publishing,academic publishers,academic publishers,medical and health sciences,
193,9781443817233,authored books,2010,United Kingdom,Cambridge Scholars Publishing,academic publishers,academic publishers,humanities,
194,9781443823319,edited volumes,2010,United Kingdom,Cambridge Scholars Publishing,academic publishers,academic publishers,humanities,
195,9781443834452,edited volumes,2011,United Kingdom,Cambridge Scholars Publishing,academic publishers,academic publishers,humanities,
196,9781443836456,edited volumes,2012,United Kingdom,Cambridge Scholars Publishing,academic publishers,academic publishers,humanities,
197,9781443836630,edited volumes,2012,United Kingdom,Cambridge Scholars Publishing,academic publishers,academic publishers,social sciences,
198,9781443838788,edited volumes,2012,United Kingdom,Cambridge Scholars Publishing,academic publishers,academic publishers,humanities,
199,9781443840262,edited volumes,2012,United Kingdom,Cambridge Scholars Publishing,academic publishers,academic publishers,humanities,
200,9781443842136,edited volumes,2013,United Kingdom,Cambridge Scholars Publishing,academic publishers,academic publishers,humanities,
201,9781443843256,edited volumes,2013,United Kingdom,Cambridge Scholars Publishing,academic publishers,academic publishers,humanities,
202,9781443848640,edited volumes,2013,United Kingdom,Cambridge Scholars Publishing,academic publishers,academic publishers,humanities,
203,9781443849920,edited volumes,2013,United Kingdom,Cambridge Scholars Publishing,academic publishers,academic publishers,humanities,
204,9781443853903,edited volumes,2014,United Kingdom,Cambridge Scholars Publishing,academic publishers,academic publishers,social sciences,
205,9781443854405,edited volumes,2014,United Kingdom,Cambridge Scholars Publishing,academic publishers,academic publishers,humanities,
206,9781443855471,edited volumes,2014,United Kingdom,Cambridge Scholars Publishing,academic publishers,academic publishers,humanities,
207,9781443870634,edited volumes,2015,United Kingdom,Cambridge Scholars Publishing,academic publishers,academic publishers,humanities,
208,9781443870740,edited volumes,2014,United Kingdom,Cambridge Scholars Publishing,academic publishers,academic publishers,humanities,
209,9781443875554,edited volumes,2015,United Kingdom,Cambridge Scholars Publishing,academic publishers,academic publishers,social sciences,
210,9781443877305,edited volumes,2015,United Kingdom,Cambridge Scholars Publishing,academic publishers,academic publishers,humanities,
211,9781443880794,edited volumes,2015,United Kingdom,Cambridge Scholars Publishing,academic publishers,academic publishers,social sciences,
212,9781443883818,edited volumes,2015,United Kingdom,Cambridge Scholars Publishing,academic publishers,academic publishers,humanities,
213,9781443886017,edited volumes,2016,United Kingdom,Cambridge Scholars Publishing,academic publishers,academic publishers,social sciences,
214,9781443887236,edited volumes,2016,United Kingdom,Cambridge Scholars Publishing,academic publishers,academic publishers,humanities,
215,9781443897105,edited volumes,2016,United Kingdom,Cambridge Scholars Publishing,academic publishers,academic publishers,humanities,
216,9781446252451,edited volumes,2014,United Kingdom,SAGE,academic publishers,academic publishers,social sciences,
217,9781447155225,edited volumes,2013,United Kingdom,Springer Nature,academic publishers,academic publishers,technological sciences,
218,9781461461401,edited volumes,2015,United States of America,Springer Nature,academic publishers,academic publishers,social sciences,
219,9781461490920,authored books,2014,United States of America,Springer Nature,academic publishers,academic publishers,natural sciences,
220,9781461495000,edited volumes,2014,United States of America,Springer Nature,academic publishers,academic publishers,technological sciences,
221,9781466559134,edited volumes,2014,United States of America,Informa (Taylor & Francis),academic publishers,academic publishers,natural sciences,
222,9781466568747,edited volumes,2013,United States of America,Informa (Taylor & Francis),academic publishers,academic publishers,technological sciences,
223,9781466572867,edited volumes,2014,United States of America,Informa (Taylor & Francis),academic publishers,academic publishers,social sciences,
224,9781466580756,edited volumes,2014,United States of America,Informa (Taylor & Francis),academic publishers,academic publishers,medical and health sciences,
225,9781466583375,edited volumes,2014,United States of America,Informa (Taylor & Francis),academic publishers,academic publishers,technological sciences,
226,9781466583535,edited volumes,2015,United States of America,Informa (Taylor & Francis),academic publishers,academic publishers,technological sciences,
227,9781466584280,edited volumes,2014,United States of America,Informa (Taylor & Francis),academic publishers,academic publishers,medical and health sciences,
228,9781466626690,edited volumes,2012,United States of America,IGI Global,academic publishers,academic publishers,technological sciences,
229,9781466628571,authored books,2013,United States of America,IGI Global,academic publishers,academic publishers,social sciences,
230,9781466651296,edited volumes,2014,United States of America,IGI Global,academic publishers,academic publishers,social sciences,
231,9781466660984,edited volumes,2014,United States of America,IGI Global,academic publishers,academic publishers,natural sciences,
232,9781466661547,edited volumes,2014,United States of America,IGI Global,academic publishers,academic publishers,natural sciences,
233,9781466663329,edited volumes,2014,United States of America,IGI Global,academic publishers,academic publishers,natural sciences,
234,9781472404725,edited volumes,2014,United Kingdom,Informa (Taylor & Francis),academic publishers,academic publishers,social sciences,
235,9781472412560,edited volumes,2015,United Kingdom,Informa (Taylor & Francis),other publishers,academic publishers,social sciences,
236,9781472414694,edited volumes,2013,United Kingdom,Informa (Taylor & Francis),academic publishers,academic publishers,social sciences,
237,9781472434463,edited volumes,2015,United Kingdom,Informa (Taylor & Francis),academic publishers,academic publishers,social sciences,
238,9781472462213,authored books,2015,United Kingdom,Informa (Taylor & Francis),academic publishers,academic publishers,social sciences,
239,9781472462985,edited volumes,2016,United Kingdom,Informa (Taylor & Francis),academic publishers,academic publishers,social sciences,
240,9781482264562,edited volumes,2016,United States of America,Informa (Taylor & Francis),academic publishers,academic publishers,natural sciences,
241,9781489976468,edited volumes,2016,United States of America,Springer Nature,academic publishers,academic publishers,technological sciences,
242,9781493908080,edited volumes,2014,United States of America,Springer Nature,academic publishers,academic publishers,natural sciences,
243,9781493909216,edited volumes,2014,United States of America,Springer Nature,academic publishers,academic publishers,medical and health sciences,
244,9781493926473,edited volumes,2015,United States of America,Springer Nature,academic publishers,academic publishers,natural sciences,
245,9781493926862,edited volumes,2015,United States of America,Springer Nature,academic publishers,academic publishers,natural sciences,
246,9781498704564,edited volumes,2016,United States of America,Informa (Taylor & Francis),academic publishers,academic publishers,social sciences,
247,9781509508129,authored books,2016,United Kingdom,Polity Press,academic publishers,academic publishers,humanities,
248,9781522505594,edited volumes,2016,United States of America,IGI Global,academic publishers,academic publishers,social sciences,
249,9781540428899,authored books,2016,United States of America,CreateSpace Independent Publishing Platform,intermediaries,self-publishing,social sciences,
250,9781555407711,edited volumes,2010,United States of America,Scholars Press,academic publishers,academic publishers,humanities,
254,9781565182516,edited volumes,2011,United States of America,Council for Research in Values & Philosophy,not publishers,societies,social sciences,
257,9781567002553,edited volumes,2008,United States of America,"Begell House Publishers, Incorporated",academic publishers,academic publishers,technological sciences,
258,9781567002676,authored books,2010,United States of America,"Begell House Publishers, Incorporated",academic publishers,academic publishers,technological sciences,
259,9781567002737,authored books,2012,United States of America,"Begell House Publishers, Incorporated",academic publishers,academic publishers,technological sciences,
261,9781586038588,edited volumes,2008,United States of America,IOS Press,academic publishers,academic publishers,natural sciences,
262,9781587063299,edited volumes,2009,United States of America,Informa (Taylor & Francis),academic publishers,academic publishers,natural sciences,
264,9781597310864,authored books,2010,United States of America,Sophia Perennis,other publishers,general publishers,humanities,
265,9781598842371,edited volumes,2011,United States of America,Bloomsbury,academic publishers,academic publishers,social sciences,
266,9781604564846,edited volumes,2008,United States of America,Nova Science Publishers,academic publishers,academic publishers,natural sciences,
267,9781604566147,authored books,2008,United States of America,Nova Science Publishers,academic publishers,academic publishers,technological sciences,
268,9781606503799,authored books,2014,United States of America,Momentum Press,academic publishers,academic publishers,technological sciences,
269,9781607410133,edited volumes,2009,United States of America,Nova Science Publishers,academic publishers,academic publishers,technological sciences,
270,9781607411000,edited volumes,2009,United States of America,Nova Science Publishers,academic publishers,academic publishers,social sciences,
271,9781607417989,edited volumes,2011,United States of America,Nova Science Publishers,academic publishers,academic publishers,natural sciences,
272,9781607418337,edited volumes,2009,United States of America,Nova Science Publishers,academic publishers,academic publishers,medical and health sciences,
273,9781607612919,edited volumes,2012,United States of America,Springer Nature,academic publishers,academic publishers,medical and health sciences,
274,9781608761074,edited volumes,2010,United States of America,Nova Science Publishers,academic publishers,academic publishers,medical and health sciences,
275,9781608762637,edited volumes,2010,United States of America,Nova Science Publishers,academic publishers,academic publishers,social sciences,
276,9781608763269,edited volumes,2010,United States of America,Nova Science Publishers,academic publishers,academic publishers,technological sciences,
277,9781608997367,authored books,2011,United States of America,Wipf & Stock Publishers,other publishers,general publishers,humanities,
278,9781610977302,authored books,2013,United States of America,Wipf & Stock Publishers,other publishers,general publishers,humanities,
279,9781611220049,authored books,2014,United States of America,Nova Science Publishers,academic publishers,academic publishers,social sciences,
280,9781612890166,authored books,2011,United States of America,Hampton Press,academic publishers,academic publishers,humanities,
281,9781612890173,authored books,2011,United States of America,Hampton Press,academic publishers,academic publishers,humanities,
282,9781612891033,authored books,2012,United States of America,Hampton Press,academic publishers,academic publishers,humanities,
283,9781613500989,edited volumes,2011,United States of America,IGI Global,academic publishers,academic publishers,technological sciences,
284,9781613501924,edited volumes,2012,United States of America,IGI Global,academic publishers,academic publishers,technological sciences,
285,9781614704850,edited volumes,2012,United States of America,Nova Science Publishers,academic publishers,academic publishers,social sciences,
286,9781615208876,edited volumes,2010,United States of America,IGI Global,academic publishers,academic publishers,social sciences,
287,9781615209835,edited volumes,2011,United States of America,IGI Global,academic publishers,academic publishers,natural sciences,
288,9781616681821,edited volumes,2010,United States of America,Nova Science Publishers,academic publishers,academic publishers,natural sciences,
289,9781616682316,edited volumes,2010,United States of America,Nova Science Publishers,academic publishers,academic publishers,social sciences,
290,9781617795879,edited volumes,2012,United States of America,Springer Nature,academic publishers,academic publishers,medical and health sciences,
291,9781618115072,edited volumes,2016,United States of America,Academic Studies Press,academic publishers,academic publishers,humanities,
292,9781619424234,edited volumes,2012,United States of America,Nova Science Publishers,academic publishers,academic publishers,social sciences,
293,9781620811610,authored books,2012,United States of America,Nova Science Publishers,academic publishers,academic publishers,social sciences,
294,9781621002147,edited volumes,2013,United States of America,Nova Science Publishers,academic publishers,academic publishers,technological sciences,
295,9781621007043,edited volumes,2012,United States of America,Nova Science Publishers,academic publishers,academic publishers,agricultural sciences,
296,9781622578283,edited volumes,2013,United States of America,Nova Science Publishers,academic publishers,academic publishers,technological sciences,
297,9781624173455,edited volumes,2013,United States of America,Nova Science Publishers,academic publishers,academic publishers,technological sciences,
